,SMILES_cond,Index
14,CC1(C)S[C@@H]2[C@H](N=C(O)CCC[C@H](N)C(=O)N3CCC[C@H]3C(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7EC80>
15,CN(C)[C@@H]1C(O)=C(C(=N)O)C(=N)[C@]2(C#N)[C@@H]1CC2(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A23430>
16,N=C(N)NCCCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7E900>
17,CC(C)[C@H]1Cc2cc(F)ccc2S(=O)(=O)N(C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)NC(C)(C)C)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A6EC80>
18,CC1(C)S[C@H]([C@@H](C=O)N=C(O)[C@H](N=C(O)[C@@H]2CCCN2)C2CCCCC2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7EC10>
19,CC[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(O)=NCC(C)(C)C(=N)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7E6D0>
20,CC1(C)S[C@H]([C@@H](C=O)N=C(O)[C@H](N)Cc2ccccc2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7EB30>
21,CC1(C)S[C@H]([C@@H](C=O)N=C(O)[C@H](N=C(O)C2CC2)C2CCCCC2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7ECF0>
22,CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)C3CCCCC3)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7E4A0>
23,C[C@@H](O)[C@H](N)C(O)=N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CN)CC[C@H]2C(O)=NC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7E9E0>
24,CC1(C)S[C@@H]2[C@H](N=C(O)CC[C@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A234A0>
25,N=C1N=C(O)C2=NC(=O)N([C@@H]3C[C@H](CO)[C@@H](O)C3)C2=N1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A230B0>
